repl1_input,repl1_high,repl1_med,repl1_low,repl2_input,repl2_high,repl2_med,repl2_low
11,9,12,11,152,119,189,102
68,81,39,67,360,339,280,821
96,89,109,17,3,4,5,0
104,97,116,38,190,198,194,23
0,0,0,0,106,125,120,197
391,453,313,155,380,401,332,496
22,28,22,2,102,112,114,41
69,47,65,14,1,0,1,0
238,258,223,278,9,3,7,8
64,60,60,28,108,126,127,24
51,71,67,42,0,1,0,0
156,166,150,398,294,295,324,75
271,281,256,40,10,13,13,25
27,30,30,22,70,65,73,29
37,44,31,45,8,11,17,1
118,87,122,200,81,100,89,12
119,97,130,8,14,15,6,4
40,40,30,11,6,13,7,3
0,0,0,0,190,195,203,25
4,3,9,0,279,319,239,239
10,8,24,17,58,59,45,42
0,0,0,0,125,141,113,6
82,73,76,122,3,10,4,6
23,29,36,20,8,3,20,3
124,150,129,139,165,179,183,51
121,142,109,106,121,138,131,217
0,0,0,0,204,204,159,43
21,15,33,13,5,3,3,4
20,29,32,10,22,22,33,14
297,323,281,121,0,0,0,0
144,152,138,64,292,293,366,440
116,119,146,216,82,83,62,14
20,19,19,15,72,49,68,111
14,16,22,1,10,9,7,2
284,263,312,232,19,17,32,6
2,1,3,2,25,30,36,3
114,105,130,15,54,49,60,105
49,47,46,31,0,0,1,2
116,107,126,200,0,1,0,0
0,1,0,0,35,26,22,16
53,47,60,10,0,0,0,0
51,56,35,59,95,86,88,52
134,135,153,40,262,276,278,132
50,51,51,19,353,370,467,122
0,1,2,2,0,0,0,0
41,46,42,19,2,4,2,1
137,132,108,57,0,1,1,0
177,166,235,154,36,47,48,14
80,86,106,63,0,0,0,0
34,31,28,9,315,254,337,212
187,192,165,23,9,11,9,7
217,223,243,17,176,149,173,132
218,203,327,50,146,158,142,148
14,11,16,5,323,339,307,209
26,27,33,59,48,58,43,33
146,165,147,94,43,50,47,44
397,445,429,68,0,0,0,0
0,0,0,0,12,10,12,12
447,543,302,706,355,358,342,346
0,0,0,0,196,208,171,70
319,280,334,109,2,10,6,3
184,200,166,222,8,21,3,10
143,135,150,46,89,62,102,148
56,47,65,31,0,0,0,0
127,121,132,6,46,62,70,59
70,67,69,27,315,332,331,143
376,318,460,309,64,58,51,19
9,7,4,5,267,265,250,183
0,0,0,0,22,20,12,17
1,2,2,0,60,66,78,8
5,4,6,5,130,145,135,111
